Sitzung	Datum	Thema
1	2025-10-28	<a href='#1'>Einführung und Grundlagen<a/>
2	2025-11-04	<a href='#2'>Themenwahl und Forschungsfragen<a/>
3	2025-11-11	<a href='#3'>CCS: Datenerhebung<a/>
4	2025-11-18	<a href='#4'>Studiendesign und Stichprobe*<a/>
5	2025-11-25	<a href='#5'>Kategorien und Codierung*<a/>
6	2025-12-02	<a href='#6'>CCS: Inhaltsanalyse mit LLM<a/>
7	2025-12-09	<a href='#7'>Codebuch-Finalisierung*<a/>
8	2025-12-16	<a href='#8'>Reliabilitätstest<a/>
9	2026-01-06	<a href='#9'>Feldphase (keine Sitzung)<a/>
10	2026-01-13	<a href='#10'>Datenaufbereitung und -analyse*<a/>
11	2026-01-20	<a href='#11'>CCS: Zero-Shot Codierung I<a/>
12	2026-01-27	<a href='#12'>CCS: Zero-Shot Codierung II<a/>
13	2026-02-03	<a href='#13'>Visualisierung und Ergebnisaufbereitung<a/>
14	2026-02-10	<a href='#14'>Abschluss<a/>
